N°,id,status,all_images,aired_episodes,seen_episodes,up_to_date,runtime,name
1,70350,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/70350/919091-0-optimized.jpg,26,0,False,25,Neon Genesis Evangelion
2,70862,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/70862/959773-0-optimized.jpg,26,0,False,30,Vampire Princess Miyu
3,70863,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/70863/1379582-0-optimized.jpg,95,0,False,25,Rurouni Kenshin
4,70900,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/70900/62058228-0-optimized.jpg,82,0,False,30,Initial D
5,71278,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/71278/62710786-0-optimized.jpg,13,0,False,25,Hellsing
6,71361,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/71361/932930-0-optimized.jpg,193,0,False,25,InuYasha
7,71742,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/71742/957686-0-optimized.jpg,12,0,False,25,Boogiepop Phantom
8,72408,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/72408/1343590-0-optimized.jpg,6,0,False,25,Golden Boy
9,72454,Continuing,https://dg31sz3gwrwan.cloudfront.net/poster/72454/1220897-0-optimized.jpg,1037,0,False,25,Detective Conan
10,72775,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/72775/62002613-0-optimized.jpg,291,0,False,25,Saint Seiya
11,72842,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/72842/935051-0-optimized.jpg,13,0,False,30,Ninja Scroll: The Series
12,72877,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/72877/239411-0-optimized.jpg,140,0,False,25,City Hunter
13,72902,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/72902/1109124-0-optimized.jpg,47,0,False,25,Last Exile
14,73749,Continuing,https://dg31sz3gwrwan.cloudfront.net/poster/73749/62721-0-optimized.jpg,64,0,False,25,Ghost in the Shell: Stand Alone Complex
15,73752,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/73752/919479-0-optimized.jpg,25,0,False,24,Berserk
16,74280,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/74280/62361348-0-optimized.jpg,95,0,False,25,Code Lyoko
17,74599,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/74599/238191-0-optimized.jpg,74,0,False,25,Monster
18,74796,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/74796/166931-0-optimized.jpg,366,73,False,25,Bleach
20,74957,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/74957/410301-0-optimized.jpg,13,0,False,25,Requiem from the Darkness
21,75579,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/75579/26915-0-optimized.jpg,51,0,False,25,Fullmetal Alchemist
22,76023,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/76023/956299-0-optimized.jpg,52,0,False,25,Tsubasa: RESERVoir CHRoNiCLE
23,76665,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/76665/919480-0-optimized.jpg,112,0,False,25,Yu Yu Hakusho
24,76666,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/76666/1128132-0-optimized.jpg,153,0,False,25,Dragon Ball
25,76703,Continuing,https://dg31sz3gwrwan.cloudfront.net/poster/76703/698911-0-optimized.jpg,1181,0,False,25,Pokémon
27,76894,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/76894/452531-0-optimized.jpg,224,0,False,25,Yu-Gi-Oh! Duel Monsters
28,77625,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/77625/1150319-0-optimized.jpg,156,0,False,25,Totally Spies!
29,77680,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/77680/40682-0-optimized.jpg,26,0,False,25,Trigun
30,78500,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/78500/1126113-0-optimized.jpg,200,0,False,25,Sailor Moon
31,78783,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/78783/534301-0-optimized.jpg,117,0,False,25,The Mysterious Cities of Gold
32,78814,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/78814/310401-0-optimized.jpg,13,0,False,25,Serial Experiments Lain
33,78857,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/78857/62555394-0-optimized.jpg,220,0,False,25,Naruto
34,78881,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/78881/483251-0-optimized.jpg,48,0,False,25,Basilisk
35,78900,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/78900/36713-0-optimized.jpg,26,0,False,25,Fruits Basket
37,78933,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/78933/901152-0-optimized.jpg,26,0,False,25,Samurai Deeper Kyo
38,78947,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/78947/39650-0-optimized.jpg,26,0,False,25,Noir
39,78960,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/78960/32693-0-optimized.jpg,50,0,False,25,Blood+
40,79046,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/79046/965106-0-optimized.jpg,12,0,False,25,Gunparade March
42,79089,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/79089/62633089-0-optimized.jpg,26,0,False,25,Samurai Champloo
43,79127,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/79127/1091916-0-optimized.jpg,26,0,False,25,Samurai 7
45,79156,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/79156/893481-0-optimized.jpg,152,0,False,25,Fist of the North Star
46,79228,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/79228/695541-0-optimized.jpg,23,0,False,25,Ergo Proxy
